action_id,capital_tier,E_effect_0_to_200,Ec_effect_0_to_200,S_effect_0_to_200,composite_effect_0_to_200,best_magnitude_pct,capex_per_unit,capex_source,cost_efficiency_per_$1M,cost_status
microgrid,energy_transmission,0.0,0.005879057912392405,0.011758115824783921,0.0058790579123915165,,,null — unsourced capex,null — unsourced capex,unsourced capex: no capex/cost source citation
beaver_reintroduction,hydrological_restoration,0.0004790109601571224,9.580219203098039e-05,5.748131521965405e-05,0.00021076482246940031,,,null — unsourced capex,null — unsourced capex,unsourced capex: no capex/cost source citation
wetland_restoration,hydrological_restoration,5.1958292672349415e-05,7.793743900919026e-06,1.0391658534558701e-05,2.3381231702757077e-05,,,null — unsourced capex,null — unsourced capex,unsourced capex: no capex/cost source citation
watershed_protection,hydrological_restoration,0.0012239515295875414,0.0002039919215981456,0.0003059878823972184,0.000577977111195338,,,null — unsourced capex,null — unsourced capex,unsourced capex: no capex/cost source citation
mine_land_reclamation,hydrological_restoration,0.034129000858064806,0.009480278016129162,0.007584222412903685,0.01706450042903196,,,null — unsourced capex,null — unsourced capex,unsourced capex: no capex/cost source citation
floodplain_reconnection,hydrological_restoration,0.0003801069758426756,8.446821685392791e-05,0.00010558527106674376,0.00019005348792067167,,,null — unsourced capex,null — unsourced capex,unsourced capex: no capex/cost source citation
forest_restoration,terrestrial_ecosystem,5.7154121939628766e-05,7.793743900919026e-06,1.0391658534558701e-05,2.5113174792146253e-05,,,null — unsourced capex,null — unsourced capex,unsourced capex: no capex/cost source citation
sagebrush_restoration,terrestrial_ecosystem,0.0006106800794096756,3.392667107782188e-05,6.785334215653194e-05,0.00023748669754830587,,,null — unsourced capex,null — unsourced capex,unsourced capex: no capex/cost source citation
clean_manufacturing,economic_development,0.0,0.0052236215224459315,0.0013065102464668854,0.0021767105896373096,,,null — unsourced capex,null — unsourced capex,unsourced capex: cost unit '$/job (facility attraction + incentive cost)' does not match magnitude unit 'facilities'
university_research_center,settlement_social,0.0004036452603188856,0.005045565753988512,0.004036452603190632,0.0031618878724986033,,,null — unsourced capex,null — unsourced capex,unsourced capex: no capex/cost source citation
tribal_energy_sovereignty,settlement_social,0.0003536043202601036,0.0008840108006502589,0.0011050135008128237,0.0007808762072416542,,,null — unsourced capex,null — unsourced capex,unsourced capex: no capex/cost source citation
lead_service_line,settlement_social,0.0006054678904785504,0.0004036452603193297,0.00242187156191509,0.0011436615709037312,,,null — unsourced capex,null — unsourced capex,unsourced capex: no capex/cost source citation
rangeland_restoration_maintenance,agriculture,,,,,,,null — unsourced capex,null — unsourced capex,unsourced capex: cost unit '$/acre/year' does not match magnitude unit 'acres'
ev_charging_network,transport,0.0004838926838766078,0.0009677853677523274,0.0014516780516293792,0.0009677853677523274,,,null — unsourced capex,null — unsourced capex,unsourced capex: no capex/cost source citation
